,id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
192,1819156514850742273,1819156514645086208,Aluminum,5.8,kg,,吴宇森,
193,1819156514850742274,1819156514645086208,Plastics,3.5,kg,,吴宇森,
194,1819156514850742275,1819156514645086208,Electronics,5.6,kg,,吴宇森,
195,1819156514850742276,1819156514645086208,Other,4.2,kg,,吴宇森,
196,1819156514850742277,1819156514645086208,Cardboard,2.4,kg,,吴宇森,
197,1819156514850742278,1819156514645086208,Paper (manuals etc.),0.1,kg,,吴宇森,
198,1819156514850742279,1819156514645086208,"Wooden pallet (24 kg,mass allocation between8 units and 20 use cycles)",0.2,kg,,吴宇森,
199,1819158719452422144,1819158719347429376,Metals,12.0,kg,,吴宇森,
200,1819158719452422145,1819158719347429376,Electronics,1.0,kg,,吴宇森,
201,1819158719452422146,1819158719347429376,Plastics,8.0,kg,,吴宇森,
202,1819158719452422147,1819158719347429376,Gasket,1.0,kg,,吴宇森,
203,1819158719452422148,1819158719347429376,Others,1.5,kg,,吴宇森,
204,1819158719452422149,1819158719347429376,Weight,23.0,kg,,吴宇森,
205,1819158913111826432,1819158912994250752,Steel,4.73,kg,,吴宇森,
206,1819158913111826433,1819158912994250752,Electronics_and_cables,1.9,kg,,吴宇森,
207,1819158913111826434,1819158912994250752,Zinc,0.0,kg,,吴宇森,
208,1819158913111826435,1819158912994250752,Polypropylene,0.43,kg,,吴宇森,
209,1819158913111826436,1819158912994250752,Glass,0.42,kg,,吴宇森,
210,1819158913111826437,1819158912994250752,Aluminium,0.31,kg,,吴宇森,
211,1819158913111826438,1819158912994250752,Epoxy,0.06,kg,,吴宇森,
212,1819158913111826439,1819158912994250752,Polyamide,0.05,kg,,吴宇森,
213,1819158913111826440,1819158912994250752,Polycarbonate,0.01,kg,,吴宇森,
214,1819158913111826441,1819158912994250752,Weight,7.97,kg,,吴宇森,
215,1819158913111826442,1819158912994250752,Wood,0.92,kg,,吴宇森,
216,1819158913111826443,1819158912994250752,Corrugated_cardboard,0.75,kg,,吴宇森,
217,1819158913111826444,1819158912994250752,Extruded_polystyren,0.15,kg,,吴宇森,
218,1819158913111826445,1819158912994250752,Polypropylene,0.01,kg,,吴宇森,
219,1819159253320212480,1819159253211025408,Aluminium,5.11,kg,,吴宇森,
220,1819159253320212481,1819159253211025408,Electronics,0.7,kg,,吴宇森,
221,1819159253320212482,1819159253211025408,Plastics,0.18,kg,,吴宇森,
222,1819159253320212483,1819159253211025408,Gasket,0.0,kg,,吴宇森,
223,1819159253320212484,1819159253211025408,Others,0.2,kg,,吴宇森,
224,1819159253320212485,1819159253211025408,Weight,6.2,kg,,吴宇森,
225,1819159716509786112,1819159716333490176,Steel,48.73,kg,,吴宇森,
226,1819159716509786113,1819159716333490176,Aluminum,6.11,kg,,吴宇森,
227,1819159716509786114,1819159716333490176,Plastics,2.7,kg,,吴宇森,
228,1819159716509786115,1819159716333490176,Electronics,6.45,kg,,吴宇森,
229,1819159716509786116,1819159716333490176,Other,2.46,kg,,吴宇森,
230,1819159716509786117,1819159716333490176,Cardboard,2.46,weight,,吴宇森,
231,1819159716509786118,1819159716333490176,Paper (manuals etc.),0.09,weight,,吴宇森,
232,1819159716509786119,1819159716333490176,"Wooden pallet (24 kg,mass allocation between8 units and 20 use cycles)",0.2,weight,,吴宇森,
233,1819159716509786120,1819159716333490176,TOTAL(excl. wooden pallet),69.0,kg,,吴宇森,
234,1819164831463514112,1819164831320772608,Fe,993.82,kg,,吴宇森,
235,1819164831463514113,1819164831320772608,C,0.64,weight,,吴宇森,
236,1819164831463514114,1819164831320772608,C,0.06,kg,,吴宇森,
237,1819164831463514115,1819164831320772608,Mn,3.84,kg,,吴宇森,
238,1819164831463514116,1819164831320772608,Mn,0.38,weight,,吴宇森,
239,1819164831463514117,1819164831320772608,Others,1.69,kg,,吴宇森,
240,1819164831463514118,1819164831320772608,Others,0.17,weight,,吴宇森,
241,1819164831463514119,1819164831320772608,Weight,1000.0,kg,,吴宇森,
242,1819167787097268224,1819167786983886848,TOTAL_(kg),4.09,kg,,吴宇森,
243,1819167787097268225,1819167786983886848,Wooden_pallet,0.00099,kg,,吴宇森,
244,1819167787097268226,1819167786983886848,Paper_cardboard,0.0227,kg,,吴宇森,
245,1819167787097268227,1819167786983886848,Plastic_foil,0.0056,kg,,吴宇森,
246,1819167787097268228,1819167786983886848,TOTAL_Packaging_materials,0.0293,kg,,吴宇森,
247,1819168071236198400,1819168071122817024,Bitumen,40.0,,,吴宇森,
248,1819168071236198401,1819168071122817024,Bitumen,60.0,,,吴宇森,
249,1819168071236198402,1819168071122817024,Minerals as filler,30.0,,,吴宇森,
250,1819168071236198403,1819168071122817024,Minerals as filler,50.0,,,吴宇森,
251,1819168071236198404,1819168071122817024,SBS,0.0,,,吴宇森,
252,1819168071236198405,1819168071122817024,SBS,10.0,,,吴宇森,
253,1819168071236198406,1819168071122817024,Reinforcement,0.0,,,吴宇森,
254,1819168071236198407,1819168071122817024,Reinforcement,20.0,,,吴宇森,
255,1819168071236198408,1819168071122817024,TOTAL (kg),3.87,e,,吴宇森,
256,1819170300018040832,1819170299900465152,TOTAL (kg),3.95,kg,,吴宇森,
257,1819170300018040833,1819170299900465152,Wooden pallet,0.0614,kg,,吴宇森,
258,1819170300018040834,1819170299900465152,Paper /,0.0285,kg,,吴宇森,
259,1819170300018040835,1819170299900465152,Plastic foil,0.00672,kg,,吴宇森,
260,1819170300018040836,1819170299900465152,Weight,0.0966,kg,,吴宇森,
261,1819170653216186368,1819170653081833472,Barium_sulfate_Weight,0.609,kg,,吴宇森,
262,1819170653216186369,1819170653081833472,Polypropylene_Weight,0.315,kg,,吴宇森,
263,1819170653216186370,1819170653081833472,TPE_Weight,0.054,kg,,吴宇森,
264,1819170653216186371,1819170653081833472,"Other_(such_as_additives,_pigments)_Weight",0.022,kg,,吴宇森,
265,1819170653216186372,1819170653081833472,TOTAL_Weight,1.0,kg,,吴宇森,
266,1819170653216186373,1819170653081833472,PET-strip_Weight,0.0006,kg,,吴宇森,
267,1819170653216186374,1819170653081833472,Wood_Weight,0.14,kg,,吴宇森,
268,1819170653216186375,1819170653081833472,TOTAL_Packaging_Materials_Weight,0.14,kg,,吴宇森,
269,1819170879750545408,1819170879637164032,TOTAL_(kg),6.27,kg,,吴宇森,
270,1819170879750545409,1819170879637164032,Wooden_pallet,0.0912,kg,,吴宇森,
271,1819170879750545410,1819170879637164032,Paper_cardboard,0.0352,kg,,吴宇森,
272,1819170879750545411,1819170879637164032,Plastic_foil,0.00951,kg,,吴宇森,
273,1819170879750545412,1819170879637164032,TOTAL_packaging_materials,0.136,kg,,吴宇森,
274,1819171047237492736,1819171047115722752,Wooden_pallet,0.00108,kg,,吴宇森,
275,1819171047237492737,1819171047115722752,Paper_cardboard,0.0226,kg,,吴宇森,
276,1819171047237492738,1819171047115722752,Plastic_foil,0.00635,kg,,吴宇森,
277,1819171340025077760,1819171339907502080,TOTAL_(kg),3.49,kg,,吴宇森,
278,1819171340025077761,1819171339907502080,Wooden_pallet,0.0888,kg,,吴宇森,
279,1819171340025077762,1819171339907502080,Paper_/cardboard,0.0226,kg,,吴宇森,
280,1819171340025077763,1819171339907502080,Plastic_foil,0.00563,kg,,吴宇森,
281,1819171340025077764,1819171339907502080,TOTAL_Packaging,0.117,kg,,吴宇森,
282,1819172120476000256,1819172120362618880,Additives,0.3,,,吴宇森,
283,1819172120476000257,1819172120362618880,Filler,18.47,,,吴宇森,
284,1819172120476000258,1819172120362618880,Solvents,49.29,,,吴宇森,
285,1819172120476000259,1819172120362618880,Resins,21.02,,,吴宇森,
286,1819172120476000260,1819172120362618880,Pigments,10.92,,,吴宇森,
287,1819172120476000261,1819172120362618880,Weight,100.0,,,吴宇森,
288,1819172427285143552,1819172427125624832,Non_woven_and_scrim_PP,0.072,kg,,吴宇森,
289,1819172427285143553,1819172427125624832,Film_HDPE,0.018,kg,,吴宇森,
