,id,factor_id,uuid,value,ghg_type,boundary,formula,description
142,1818428018524295170,1818428018494935040,8a6f13ea-f4cd-4805-b1b3-564e6fee43bb,0.3334,CO2,C1-C4,,
143,1818428018524295171,1818428018494935040,8a6f13ea-f4cd-4805-b1b3-564e6fee43bb,0.3334,Total,C1-C4,,
144,1818428018524295172,1818428018494935040,8a6f13ea-f4cd-4805-b1b3-564e6fee43bb,-3.2,CO2,D,,
145,1818428018524295173,1818428018494935040,8a6f13ea-f4cd-4805-b1b3-564e6fee43bb,-3.2,Total,D,,
146,1818428210245931008,1818428210208182272,c92d2107-ea43-410c-b475-c841ed7dc045,2.25,CO2,A1-A3,,
147,1818428210245931009,1818428210208182272,c92d2107-ea43-410c-b475-c841ed7dc045,2.25,Total,A1-A3,,
148,1818428210245931010,1818428210208182272,c92d2107-ea43-410c-b475-c841ed7dc045,0.02142,CO2,C1-C4,,
149,1818428210245931011,1818428210208182272,c92d2107-ea43-410c-b475-c841ed7dc045,0.02142,Total,C1-C4,,
150,1818428491574677504,1818428491549511680,5fc3d1a4-b39f-405c-806a-291512017533,2.69,CO2,A1-A3,,
151,1818428491574677505,1818428491549511680,5fc3d1a4-b39f-405c-806a-291512017533,2.69,Total,A1-A3,,
152,1818428491574677506,1818428491549511680,5fc3d1a4-b39f-405c-806a-291512017533,0.02142,CO2,C1-C4,,
153,1818428491574677507,1818428491549511680,5fc3d1a4-b39f-405c-806a-291512017533,0.02142,Total,C1-C4,,
154,1818428660852592640,1818428660831621120,3c00ba78-5ae9-479f-bbd6-f921d60ece26,2.89,CO2,A1-A3,,
155,1818428660852592641,1818428660831621120,3c00ba78-5ae9-479f-bbd6-f921d60ece26,2.89,Total,A1-A3,,
156,1818428786144841728,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,2.7,CO2,A1-A3,,
157,1818428786144841729,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,2.7,Total,A1-A3,,
158,1818428786144841730,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,0.243,CO2,A4-A5,,
159,1818428786144841731,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,0.243,Total,A4-A5,,
160,1818428786144841732,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,1.56351,CO2,C1-C4,,
161,1818428786144841733,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,1.56351,Total,C1-C4,,
162,1818428786144841734,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,-0.573,CO2,D,,
163,1818428786144841735,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,-0.573,Total,D,,
164,1818429038528696320,1818429038503530496,f453ce49-8d44-4e0f-97c5-df7962fb489c,3.98,CO2,A1-A3,,
165,1818429038528696321,1818429038503530496,f453ce49-8d44-4e0f-97c5-df7962fb489c,3.98,Total,A1-A3,,
166,1818429038528696322,1818429038503530496,f453ce49-8d44-4e0f-97c5-df7962fb489c,0.02142,CO2,C1-C4,,
167,1818429038528696323,1818429038503530496,f453ce49-8d44-4e0f-97c5-df7962fb489c,0.02142,Total,C1-C4,,
168,1818429217872941056,1818429217843580928,05b11907-b23e-4012-a7c1-f2921ad21884,30.2,CO2,A1-A3,,
169,1818429217872941057,1818429217843580928,05b11907-b23e-4012-a7c1-f2921ad21884,30.2,Total,A1-A3,,
170,1818429217872941058,1818429217843580928,05b11907-b23e-4012-a7c1-f2921ad21884,13.1134,CO2,C1-C4,,
171,1818429217872941059,1818429217843580928,05b11907-b23e-4012-a7c1-f2921ad21884,13.1134,Total,C1-C4,,
172,1818429217872941060,1818429217843580928,05b11907-b23e-4012-a7c1-f2921ad21884,-10.6,CO2,D,,
173,1818429217872941061,1818429217843580928,05b11907-b23e-4012-a7c1-f2921ad21884,-10.6,Total,D,,
174,1818429301264093184,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,209.0,CO2,A1-A3,,
175,1818429301264093185,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,209.0,Total,A1-A3,,
176,1818429301264093186,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,13.76,CO2,A4-A5,,
177,1818429301264093187,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,13.76,Total,A4-A5,,
178,1818429301264093188,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,-7.48,CO2,B1-B7,,
179,1818429301264093189,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,-7.48,Total,B1-B7,,
180,1818429301264093190,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,19.09,CO2,C1-C4,,
181,1818429301264093191,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,19.09,Total,C1-C4,,
182,1818429301264093192,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,-8.99,CO2,D,,
183,1818429301264093193,1818429301243121664,9df65a83-59de-42f6-8644-152be27df4d7,-8.99,Total,D,,
184,1818429495238070272,1818429495200321536,03a786b7-d6f0-43e3-a288-4d3db837b96f,3.51,CO2,A1-A3,,
185,1818429495238070273,1818429495200321536,03a786b7-d6f0-43e3-a288-4d3db837b96f,3.51,Total,A1-A3,,
186,1818429495238070274,1818429495200321536,03a786b7-d6f0-43e3-a288-4d3db837b96f,0.02142,CO2,C1-C4,,
187,1818429495238070275,1818429495200321536,03a786b7-d6f0-43e3-a288-4d3db837b96f,0.02142,Total,C1-C4,,
188,1818431250382327808,1818431250344579072,50646609-24b0-4290-ad88-13d924ea4818,-676.0,CO2,A1-A3,,
189,1818431250382327809,1818431250344579072,50646609-24b0-4290-ad88-13d924ea4818,-676.0,Total,A1-A3,,
