id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
1818433461749555205,1818433461711671296,Weight,100.0,%,,吴宇森,
1818433919352315904,1818433919310237696,Aluminium,34.0,g,,吴宇森,
1818433919352315905,1818433919310237696,Stainless steel,199.8,g,,吴宇森,
1818433919352315906,1818433919310237696,Steel,293.2,g,,吴宇森,
1818433919352315907,1818433919310237696,Polyamide,1.0,g,,吴宇森,
1818433919352315908,1818433919310237696,Polyoxymethyle,2.3,g,,吴宇森,
1818433919352315909,1818433919310237696,Other metal,10.6,g,,吴宇森,
1818433919352315910,1818433919310237696,Zinc alloy,334.2,g,,吴宇森,
1818433919352315911,1818433919310237696,Total weight (g),875.1,g,,吴宇森,
1818433919352315912,1818433919310237696,Wood,25.0,g,,吴宇森,
1818433919352315913,1818433919310237696,Cardboard,31.6,g,,吴宇森,
1818433919352315914,1818433919310237696,Plastic,11.6,g,,吴宇森,
1818433919352315915,1818433919310237696,TOTAL (g),68.2,g,,吴宇森,
1818434078035419136,1818434077984952320,Aluminium,197.8,g,,吴宇森,
1818434078035419137,1818434077984952320,Stainless steel,153.1,g,,吴宇森,
1818434078035419138,1818434077984952320,Steel,0.0,g,,吴宇森,
1818434078035419139,1818434077984952320,Polyamide,7.0,g,,吴宇森,
1818434078035419140,1818434077984952320,Polypropylene,2.7,g,,吴宇森,
1818434078035419141,1818434077984952320,Polyoxymethylene,1.9,g,,吴宇森,
1818434078035419142,1818434077984952320,Zinc alloy,10.2,g,,吴宇森,
1818434078035419143,1818434077984952320,Total weight (g),372.7,g,,吴宇森,
1818434078035419144,1818434077984952320,Wood,16.7,g,,吴宇森,
1818434078035419145,1818434077984952320,Plastic,6.0,g,,吴宇森,
1818434078035419146,1818434077984952320,Cardboard,50.7,g,,吴宇森,
1818434078035419147,1818434077984952320,TOTAL (g),73.4,g,,吴宇森,
1818434387990290432,1818434387944017920,Water_base,0.947,kg,,吴宇森,
1818434387990290433,1818434387944017920,Additives,0.0525,kg,,吴宇森,
1818434387990290434,1818434387944017920,Wood,0.0473,kg,,吴宇森,
1818434387990290435,1818434387944017920,Plastic,0.057,kg,,吴宇森,
1818434387990290436,1818434387944017920,Labels,9.96e-05,kg,,吴宇森,
1818434708250566656,1818434708200099840,RUBBER,0.22,Weight-%,,吴宇森,
1818434708250566657,1818434708200099840,MICROFILTERED,0.0721,Weight-%,,吴宇森,
1818434708250566658,1818434708200099840,MINERAL FILLER,0.617,Weight-%,,吴宇森,
1818434708250566659,1818434708200099840,PLASTICIZER,0.0517,Weight-%,,吴宇森,
1818434708250566660,1818434708200099840,ADITIVES,0.0389,Weight-%,,吴宇森,
1818434708250566661,1818434708200099840,TOTAL (Product components),1.0,"Weight, kg",,吴宇森,
1818434708250566662,1818434708200099840,LDPE,0.000218,Weight-%,,吴宇森,
1818434708250566663,1818434708200099840,HDPE,0.00393,"Weight, kg",,吴宇森,
1818434708250566664,1818434708200099840,WOOD,0.025,Weight-%,,吴宇森,
1818434708250566665,1818434708200099840,CARDBOARD AND,0.000397,Weight-%,,吴宇森,
