id,factor_id,uuid,value,ghg_type,boundary,formula,description
1830472080009859072,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,10.4,CO2,A1-A3,,
1830472080009859073,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,10.4,Total,A1-A3,,
1830472080009859074,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,5.665,CO2,A4-A5,,
1830472080009859075,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,5.665,Total,A4-A5,,
1830472080009859076,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,0.518,CO2,B1-B7,,
1830472080009859077,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,0.518,Total,B1-B7,,
1830472080009859078,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,0.543,CO2,C1-C4,,
1830472080009859079,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,0.543,Total,C1-C4,,
1830472080009859080,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,-0.591,CO2,D,,
1830472080009859081,1830472079993081856,f391fd23-0025-436c-b1b9-020c921076b2,-0.591,Total,D,,
1830472295005687808,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,CO2,A1-A3,,
1830472295005687809,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,Total,A1-A3,,
1830472295005687810,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,CO2,A4-A5,,
1830472295005687811,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,Total,A4-A5,,
1830472295005687812,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,CO2,B1-B7,,
1830472295005687813,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,Total,B1-B7,,
1830472295005687814,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,CO2,C1-C4,,
1830472295005687815,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,Total,C1-C4,,
1830472295005687816,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,CO2,D,,
1830472295005687817,1830472294988910592,0ba48f3b-3e61-4c91-a362-1e26d245e742,,Total,D,,
1830472470331789312,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,8090.0,CO2,A1-A3,,
